short,long or short,long,long-plural
US,United States,United States,United States
NY,New York,New York,New York
48L,Hyatt 48LEX,Hyatt 48LEX,Hyatt 48LEX
CIA,Central Intelligence Agency,Central Intelligence Agency,Central Intelligence Agency
POS,Point of Sale,Point of Sale,Point of Sale
DNC,Democratic National Convention,Democratic National Convention,Democratic National Convention
BTK,Baku-Tbilisi-Kars,Baku-Tbilisi-Kars,Baku-Tbilisi-Kars
PR,Public Relations,Public Relations,Public Relations
EB,Barak,Ehud Barak,Ehud Barak
NYC,New York City,New York City,New York City
PII,Personally Identifiable Information,Personally Identifiable Information,Personally Identifiable Information
NSA,National Security Agency,National Security Agency,National Security Agency
P2P,Peer-to-Peer,Peer-to-Peer,Peer-to-Peer
